,count,mean,std,min,25%,50%,75%,max,year
MI%,50000.0,6.4532,11.561738763531094,0.0,0.0,0.0,6.0,37.0,2015
unit,50000.0,1.03042,0.23599944388650196,1.0,1.0,1.0,1.0,4.0,2015
CLTV,50000.0,74.30738,17.39094323013467,6.0,67.0,79.0,85.0,999.0,2015
DTI_rat,50000.0,33.86712,11.203246545544587,1.0,27.0,35.0,42.0,999.0,2015
UPB,50000.0,229367.92,120189.81049441411,14000.0,137000.0,206000.0,304000.0,968000.0,2015
LTV,50000.0,73.77618,17.48159708757551,6.0,66.0,78.0,83.0,999.0,2015
interest_rate,50000.0,3.956772079999934,0.4458147202008476,2.5,3.75,4.0,4.25,5.5,2015
post_code,50000.0,56479.392,30007.960651540376,600.0,30300.0,56300.0,85200.0,99900.0,2015
term,50000.0,317.8708,74.65322450799025,96.0,300.0,360.0,360.0,360.0,2015
borrowers,50000.0,1.5203,0.4995927359939471,1.0,1.0,2.0,2.0,2.0,2015
score,50000.0,751.37888,94.0389129897226,601.0,719.0,759.0,788.0,9999.0,2016
pay1_date,50000.0,201623.08052,34.95097692404575,201602.0,201606.0,201609.0,201612.0,201710.0,2016
maturity_date,50000.0,204268.1456,618.0395691691964,202409.0,204601.0,204606.0,204609.0,204709.0,2016
MSA,45452.0,30501.105341899147,11277.618193983835,10180.0,19660.0,33124.0,40140.0,49740.0,2016
MI%,50000.0,6.1384,11.317006977677604,0.0,0.0,0.0,0.0,35.0,2016
unit,50000.0,1.03214,0.2427925026931816,1.0,1.0,1.0,1.0,4.0,2016
CLTV,50000.0,73.50926,17.615595375587063,7.0,65.0,78.0,84.0,999.0,2016
DTI_rat,50000.0,34.17152,10.31056094705531,1.0,27.0,35.0,42.0,999.0,2016
UPB,50000.0,239712.88,118608.0526756046,12000.0,149000.0,221000.0,316000.0,968000.0,2016
LTV,50000.0,73.05932,17.677225201472112,7.0,65.0,77.0,80.0,999.0,2016
interest_rate,50000.0,3.776303159999981,0.4682953789065379,2.25,3.5,3.75,4.0,5.875,2016
post_code,50000.0,57425.444,30089.4072399444,600.0,32000.0,60000.0,85300.0,99900.0,2016
term,50000.0,318.40876,74.1382017904592,96.0,360.0,360.0,360.0,360.0,2016
borrowers,50000.0,1.50606,0.4999682747590442,1.0,1.0,2.0,2.0,2.0,2016
score,37500.0,748.4268,125.66123123287072,549.0,714.0,754.0,785.0,9999.0,2017
pay1_date,37500.0,201707.21661333332,4.85434517262101,201702.0,201705.0,201707.0,201709.0,201809.0,2017
maturity_date,37500.0,204402.85384,589.4104258901674,202504.0,204702.0,204705.0,204708.0,204808.0,2017
MSA,33679.0,30375.22658036165,11224.908458553002,10180.0,19660.0,32820.0,40060.0,49740.0,2017
MI%,37500.0,6.620933333333333,11.663011152828139,0.0,0.0,0.0,12.0,35.0,2017
unit,37500.0,1.0369333333333333,0.26371281742503944,1.0,1.0,1.0,1.0,4.0,2017
CLTV,37500.0,74.67146666666666,18.995629885696452,6.0,67.0,80.0,85.0,999.0,2017
DTI_rat,37500.0,34.99125333333333,12.732056378923357,1.0,28.0,36.0,43.0,999.0,2017
UPB,37500.0,236279.97333333333,120479.75729632063,17000.0,144000.0,216000.0,312000.0,967000.0,2017
LTV,37500.0,74.32032,19.038273571601902,6.0,67.0,80.0,84.0,999.0,2017
interest_rate,37500.0,4.198448026666659,0.44519452269365956,2.25,3.99,4.25,4.5,6.125,2017
post_code,37500.0,56208.61066666667,29656.26015684005,600.0,31400.0,55400.0,84600.0,99900.0,2017
term,37500.0,323.60106666666667,70.71297708009872,96.0,360.0,360.0,360.0,360.0,2017
borrowers,37500.0,1.49424,0.4999734876566866,1.0,1.0,1.0,2.0,2.0,2017
score,50000.0,729.955,265.43032434169845,300.0,681.0,728.0,772.0,9999.0,2006
pay1_date,50000.0,200623.85894,36.565234067392446,200601.0,200606.0,200609.0,200612.0,201302.0,2006
maturity_date,50000.0,203421.2723,491.9197343604903,201106.0,203603.0,203607.0,203610.0,205704.0,2006
MSA,41791.0,29990.75279366371,11360.100974661973,10180.0,19124.0,31140.0,39340.0,49740.0,2006
MI%,50000.0,3.47626,9.084820696735456,0.0,0.0,0.0,0.0,40.0,2006
unit,50000.0,1.02774,0.21055018173238435,1.0,1.0,1.0,1.0,4.0,2006
CLTV,50000.0,73.13102,19.06012905334109,6.0,63.0,79.0,86.0,999.0,2006
DTI_rat,50000.0,57.58518,141.059380756276,1.0,28.0,37.0,46.0,999.0,2006
UPB,50000.0,179592.58,93860.06809712083,10000.0,107000.0,160000.0,235000.0,802000.0,2006
LTV,50000.0,70.71394,17.80273598143206,6.0,62.0,78.0,80.0,999.0,2006
interest_rate,50000.0,6.406875959999999,0.38915959199001204,3.5,6.125,6.375,6.625,9.25,2006
post_code,50000.0,50751.91,28517.576541417973,600.0,28700.0,48300.0,77000.0,99900.0,2006
term,50000.0,336.65032,58.85244630518022,60.0,360.0,360.0,360.0,604.0,2006
borrowers,50000.0,1.58692,1.8640156664274803,1.0,1.0,2.0,2.0,99.0,2006
score,50000.0,728.46154,230.7912739534814,333.0,680.0,729.0,773.0,9999.0,2007
